row,id,name,acres,courts,plygrnd,trails,type,PK_7_1,PK_7_2,PK_7_3,PK_7_4,PK_7_5,PK_7_6,PK_7_7,PK_7_8,PK_7_9,PK_7_10,PK_7_22,PK_7_23,PK_7_24,PK_7_25,PK_7_26,PK_7_27,PK_7_28,PK_7_29,PK_7_30,PK_8_8,PK_8_15,PK_8_24,PK_8_25,PK_9_1,PK_9_2,PK_9_3,PK_9_4,PK_9_5,PK_9_6,PK_9_7,PK_9_8,PK_9_9,PK_9_10,PK_9_11,PK_9_12,PK_9_13,PK_9_14,PK_9_15,PK_9_16,PK_9_17,PK_9_18,PK_9_19,PK_9_20,PK_9_21,PK_9_22,PK_9_23,PK_9_24,PK_9_25,PK_9_26,PK_9_27,PK_9_28,PK_9_29,PK_9_30,PK_10_1,PK_10_2,PK_10_3,PK_10_4,PK_10_5,PK_10_6,PK_10_7,PK_10_8,PK_10_9,PK_10_10,PK_10_12,PK_10_13,PK_10_14,PK_10_15,PK_10_16,PK_10_17,PK_10_18,PK_10_19,PK_10_20,PK_10_21,PK_10_22,PK_10_23,PK_10_24,PK_10_25,PK_10_26,PK_10_27,PK_10_28,PK_10_29,PK_10_30,PK_10_31
33,B057,Marine Park Golf Course,675.016782,0,0,1,park,1,5,2,4,6,10,21,10,9,2,0,2,5,4,8,2,0,3,0,0,0,0,0,1,0,0,2,6,0,3,0,2,0,1,4,0,4,0,3,4,5,0,1,1,0,0,0,0,1,1,0,2,0,4,2,4,10,8,5,1,2,1,4,1,4,1,0,1,4,7,4,4,5,3,6,2,6,7,2,2,5,5,5
34,B058,McCarren Park,36.27224842,0,0,0,park,1,8,2,12,22,21,10,9,75,9,13,44,20,5,23,10,6,12,0,0,0,0,0,6,2,2,3,3,0,4,1,1,7,1,1,0,2,1,2,1,0,1,4,1,1,2,3,3,1,1,1,1,4,5,7,8,4,14,8,11,6,1,2,15,3,7,0,7,1,10,7,1,2,1,2,2,15,6,6,14,5,7,3
35,B060,McKinley Park,6.116044811,0,0,0,park,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
36,B061,McLaughlin Park,2.064740074,1,0,0,park,0,0,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0
37,B063,Milestone Park,0.519455801,0,0,0,park,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,B065,Ocean Parkway Malls,25.27415347,0,0,0,park,5,10,2,14,3,3,1,5,1,5,8,7,25,1,1,6,2,2,1,0,0,0,0,2,0,1,2,0,0,1,1,0,1,1,0,2,2,5,1,1,0,3,0,0,1,3,2,1,0,0,1,1,0,4,2,3,2,2,3,4,4,6,3,0,4,3,4,2,7,2,16,1,2,3,1,3,0,10,3,3,1,3,0
39,B066,Owl's Head Park,25.57614888,0,0,0,park,0,0,0,62,107,2,0,56,0,2,1,1,0,0,1,51,0,86,0,0,0,0,0,0,0,0,15,0,16,7,0,0,0,0,0,4,1,0,0,0,7,1,0,1,0,0,1,0,0,9,7,0,16,0,48,18,10,50,1,20,0,23,0,7,2,6,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,1,3
40,B068,Parade Ground,37.44169859,1,0,0,park,0,2,0,1,6,1,1,2,3,1,3,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,1,10,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,1,1,2,2,1,4,0,0,1,1,3,0,0,3,0,0,2,0,2,0,0,0,1,4,0,1,11,1,1,0
41,B070,Machate Circle,0.882084271,0,0,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,B073,Prospect Park,475.2928025,0,0,1,park,11,31,9,16,182,59,32,30,113,55,124,128,103,30,112,47,17,26,1,1,1,0,0,9,0,3,4,4,14,15,3,1,1,2,7,19,10,3,2,3,4,7,12,4,3,1,3,1,4,8,6,4,2,14,16,19,16,49,16,13,17,18,16,50,15,15,10,9,36,36,86,7,13,5,10,16,53,42,22,12,15,6,17
43,B077,Coffey Park,8.220172549,0,0,0,park,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,B078,Grace Playground,2.795314446,0,1,0,park,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,B079,Saratoga Park,3.282079148,0,0,0,park,1,1,2,1,0,0,0,0,0,4,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,9,0,8,6,70,46,4,72,46,118,0,53,25,32,7,0,7,1,2,13,27,0,0,10,0,0,0,1,1,0,0,0,53,35
46,B080,Asser Levy Park,23.09212473,0,0,0,park,0,3,1,1,2,4,0,3,2,4,2,3,2,5,2,7,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,5,2,3,1,0,0,0,1,3,2,1,0,2,0,5,0,0,0,3,0,4,2,3,0,1,0,0,0
47,B082,Shore Park and Parkway,87.91766907,0,0,0,park,1,3,4,4,4,4,3,5,8,2,0,8,3,3,3,3,5,1,0,0,0,0,0,4,2,0,2,2,1,1,0,2,3,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,3,1,0,0,1,1,3,2,8,5,2,4,2,9,2,2,0,2,0,0,2,1,1,0,2,0,1,0,19,2,1,2,7
48,B087,Sunset Park,24.44939518,0,0,0,park,0,3,4,18,4,10,5,1,6,2,2,1,1,1,7,2,1,0,1,0,1,0,0,1,0,1,1,1,2,3,1,0,0,2,4,0,4,2,2,0,0,0,1,0,1,1,1,0,1,3,0,2,3,3,2,9,5,7,4,6,7,5,6,7,3,2,1,1,3,6,1,3,5,2,4,3,5,6,1,5,5,4,0
49,B088,Herbert Von King Park,8.046342313,0,0,0,park,0,0,1,2,1,2,3,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,1,2,0,2,20,0,0,1,1,3,3,1,0,1,1,0,1,0
50,B092,Kathy Reilly Triangle,2.947606555,1,0,0,park,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,B095,Ennis Playground,0.614900194,0,1,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,B096,Sgt. William Dougherty Playground,0.770749349,0,0,0,park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,B098,Martin Luther Playground,0.917806645,0,1,0,park,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,B099,Lt. Joseph Petrosino Park,0.874489371,0,1,0,park,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55,B100,Seth Low Playground/ Bealin Square,5.281370959,0,0,0,park,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
